ID,SiteNumber,SiteLocation,ClusterName,SiteAcronym,Date,Month,Depth,Temperature,DO,pH,SecchiDisk,SamplesCollected,SampleType,Comments
6802,R2,Lake Pleasant integrated sample,cap,pleasant,12/6/2005,12,45.6,15,8.7,NA,NA,NA,NA,NA
6803,R2,Lake Pleasant integrated sample,cap,pleasant,12/6/2005,12,47.6,15,8.7,NA,NA,NA,NA,NA
6804,R2,Lake Pleasant integrated sample,cap,pleasant,12/6/2005,12,49.3,15,8.7,NA,NA,NA,NA,NA
6805,R2,Lake Pleasant integrated sample,cap,pleasant,12/6/2005,12,51.7,15,8.6,NA,NA,NA,NA,NA
6806,R2,Lake Pleasant integrated sample,cap,pleasant,12/6/2005,12,54.2,15,8.4,NA,NA,NA,NA,NA
6807,R6A,Bartlett Reservoir near outlet,verde,bartlett-0m,12/6/2005,12,0,15.5,7.5,NA,1.22,NA,NA,NA
6808,R6-5,Bartlett Reservoir near outlet,verde,bartlett-5m,12/6/2005,12,5,15.6,9.1,NA,NA,NA,NA,NA
6809,R6-10,Bartlett Reservoir near outlet,verde,bartlett-10m,12/6/2005,12,10,15.6,9.2,NA,NA,NA,NA,NA
6810,R6-15,Bartlett Reservoir near outlet,verde,bartlett-15m,12/6/2005,12,15,15.6,9.1,NA,NA,NA,NA,NA
6811,R6-20,Bartlett Reservoir near outlet,verde,bartlett-20m,12/6/2005,12,20,15.6,9,NA,NA,NA,NA,NA
6812,R6-25,Bartlett Reservoir near outlet,verde,bartlett-25m,12/6/2005,12,25,15.6,8.8,NA,NA,NA,NA,NA
6813,R6-30,Bartlett Reservoir near outlet,verde,bartlett-30m,12/6/2005,12,30,15.6,8.7,NA,NA,NA,NA,NA
6814,R6-35,Bartlett Reservoir near outlet,verde,bartlett-35m,12/6/2005,12,35,15.5,7.4,NA,NA,NA,NA,NA
6815,R6-40,Bartlett Reservoir near outlet,verde,bartlett-40m,12/6/2005,12,40,15.1,7,NA,NA,NA,NA,NA
6816,R6-45,Bartlett Reservoir near outlet,verde,bartlett-45m,12/6/2005,12,45,14.9,6.8,NA,NA,NA,NA,NA
6817,R6-50,Bartlett Reservoir near outlet,verde,bartlett-50m,12/6/2005,12,50,NA,NA,NA,NA,NA,NA,NA
6818,R9A,Saguaro Lake near inlet,salt,saguaro-0m,12/6/2005,12,0,6.6,15.8,NA,2.74,NA,NA,NA
6819,R9-5,Saguaro Lake near inlet,salt,saguaro-5m,12/6/2005,12,5,7.7,15.9,NA,NA,NA,NA,NA
6820,R9-10,Saguaro Lake near inlet,salt,saguaro-10m,12/6/2005,12,10,7.8,15.9,NA,NA,NA,NA,NA
6821,R9-15,Saguaro Lake near inlet,salt,saguaro-15m,12/6/2005,12,15,7.7,16,NA,NA,NA,NA,NA
6822,R9-20,Saguaro Lake near inlet,salt,saguaro-20m,12/6/2005,12,20,7.6,16,NA,NA,NA,NA,NA
6823,R9-25,Saguaro Lake near inlet,salt,saguaro-25m,12/6/2005,12,25,7.2,16,NA,NA,NA,NA,NA
6824,R9-30,Saguaro Lake near inlet,salt,saguaro-30m,12/6/2005,12,30,7.1,16,NA,NA,NA,NA,NA
6825,R9-35,Saguaro Lake near inlet,salt,saguaro-35m,12/6/2005,12,35,NA,NA,NA,NA,NA,NA,NA
6826,R9-40,Saguaro Lake near inlet,salt,saguaro-40m,12/6/2005,12,40,NA,NA,NA,NA,NA,NA,NA
6827,R9-45,Saguaro Lake near inlet,salt,saguaro-45m,12/6/2005,12,45,NA,NA,NA,NA,NA,NA,NA
6828,R9-50,Saguaro Lake near inlet,salt,saguaro-50m,12/6/2005,12,50,NA,NA,NA,NA,NA,NA,NA
6829,R20,Verde River at Tangle,verde,verde abv horseshoe,12/6/2005,12,NA,NA,NA,NA,NA,NA,NA,NA
6663,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,10/25/2005,10,NA,21.5,NA,8.2,NA,NA,NA,NA
6664,HTC,Head of the Tempe Canal,tempe,head of tempe canal,10/25/2005,10,NA,22.1,NA,8.3,NA,NA,NA,NA
6665,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,10/25/2005,10,NA,NA,NA,NA,NA,NA,NA,NA
6666,SPT Out,Tempe's South Plant treated water,tempe,STP Out,10/25/2005,10,NA,NA,NA,NA,NA,NA,NA,NA
6667,Green In,Greenway WTP Inlet,srp,Green In,10/25/2005,10,NA,23.1,NA,8.5,NA,NA,NA,NA
6668,Green Out,Greenway WTP Outlet,srp,Green Out,10/25/2005,10,NA,NA,NA,NA,NA,NA,NA,NA
6669,R3,Waddell Canal,cap,waddell canal,11/15/2005,11,NA,18.7,NA,8.3,NA,NA,NA,NA
6670,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,11/15/2005,11,NA,20.1,NA,8.6,NA,NA,NA,NA
6671,R11,CAP Canal at Cross-connect,cap,cap @ x con,11/15/2005,11,NA,19.3,NA,8.4,NA,NA,NA,NA
6672,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,11/15/2005,11,NA,17.8,NA,8.3,NA,NA,NA,NA
6673,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,11/15/2005,11,NA,NA,NA,NA,NA,NA,NA,NA
6674,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,11/15/2005,11,NA,18.1,NA,8.4,NA,NA,NA,NA
6675,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,11/15/2005,11,NA,NA,NA,NA,NA,NA,NA,NA
6676,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,11/15/2005,11,NA,18.2,NA,8.4,NA,NA,NA,NA
6677,R17,Deer Valley WTP treated water,srp,deer valley-treated,11/15/2005,11,NA,NA,NA,NA,NA,NA,NA,NA
6678,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,11/15/2005,11,NA,19.8,NA,8.1,NA,NA,NA,NA
6679,R19,Val Vista WTP treated water,srp,val vista-treated,11/15/2005,11,NA,NA,NA,NA,NA,NA,NA,NA
6680,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,11/15/2005,11,NA,18.2,NA,8.6,NA,NA,NA,NA
6681,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,11/15/2005,11,NA,17.4,NA,8.2,NA,NA,NA,NA
6682,R25,verde river at beeline highway,verde,verde @ beeline,11/15/2005,11,NA,19.7,NA,8.7,NA,NA,NA,NA
6683,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,11/15/2005,11,NA,18.6,NA,8.4,NA,NA,NA,NA
6684,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,11/15/2005,11,NA,17.3,NA,8.2,NA,NA,NA,NA
6685,UH In,Union Hills Inlet,cap,Union Hills Inlet,11/15/2005,11,NA,19.1,NA,8.4,NA,NA,NA,NA
6686,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,11/15/2005,11,NA,NA,NA,NA,NA,NA,NA,NA
6687,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,11/15/2005,11,NA,18.7,NA,8.4,NA,NA,NA,NA
6688,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,11/15/2005,11,NA,NA,NA,NA,NA,NA,NA,NA
6689,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,11/15/2005,11,NA,17.7,NA,8.3,NA,NA,NA,NA
6690,HTC,Head of the Tempe Canal,tempe,head of tempe canal,11/15/2005,11,NA,18.8,NA,8.7,NA,NA,NA,NA
6691,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,11/15/2005,11,NA,NA,NA,NA,NA,NA,NA,NA
6692,SPT Out,Tempe's South Plant treated water,tempe,STP Out,11/15/2005,11,NA,NA,NA,NA,NA,NA,NA,NA
6693,Green In,Greenway WTP Inlet,srp,Green In,11/15/2005,11,NA,18.1,NA,8.5,NA,NA,NA,NA
6694,Green Out,Greenway WTP Outlet,srp,Green Out,11/15/2005,11,NA,NA,NA,NA,NA,NA,NA,NA
6695,R2,Lake Pleasant integrated sample,cap,pleasant,11/15/2005,11,0.2,20.1,8.9,NA,NA,NA,NA,NA
6696,R2,Lake Pleasant integrated sample,cap,pleasant,11/15/2005,11,2.5,20.1,8.9,NA,NA,NA,NA,NA
6697,R2,Lake Pleasant integrated sample,cap,pleasant,11/15/2005,11,4.8,20,8.9,NA,NA,NA,NA,NA
6698,R2,Lake Pleasant integrated sample,cap,pleasant,11/15/2005,11,6.8,20,8.9,NA,NA,NA,NA,NA
6699,R2,Lake Pleasant integrated sample,cap,pleasant,11/15/2005,11,8.4,20,8.8,NA,NA,NA,NA,NA
6700,R2,Lake Pleasant integrated sample,cap,pleasant,11/15/2005,11,10.9,20,8.7,NA,NA,NA,NA,NA
6701,R2,Lake Pleasant integrated sample,cap,pleasant,11/15/2005,11,12.6,20,8.7,NA,NA,NA,NA,NA
6702,R2,Lake Pleasant integrated sample,cap,pleasant,11/15/2005,11,14.4,19.9,8.6,NA,NA,NA,NA,NA
6703,R2,Lake Pleasant integrated sample,cap,pleasant,11/15/2005,11,16.5,19.9,8.4,NA,NA,NA,NA,NA
6704,R2,Lake Pleasant integrated sample,cap,pleasant,11/15/2005,11,16.7,19.9,8.2,NA,NA,NA,NA,NA
6705,R2,Lake Pleasant integrated sample,cap,pleasant,11/15/2005,11,18.2,19.2,7,NA,NA,NA,NA,NA
6706,R2,Lake Pleasant integrated sample,cap,pleasant,11/15/2005,11,20.2,18.1,6.2,NA,NA,NA,NA,NA
6707,R2,Lake Pleasant integrated sample,cap,pleasant,11/15/2005,11,22.1,17.8,5.8,NA,NA,NA,NA,NA
6708,R2,Lake Pleasant integrated sample,cap,pleasant,11/15/2005,11,24.2,17.8,5.4,NA,NA,NA,NA,NA
6709,R2,Lake Pleasant integrated sample,cap,pleasant,11/15/2005,11,27.2,17.2,4.8,NA,NA,NA,NA,NA
6710,R2,Lake Pleasant integrated sample,cap,pleasant,11/15/2005,11,28,17.5,4.3,NA,NA,NA,NA,NA
6711,R2,Lake Pleasant integrated sample,cap,pleasant,11/15/2005,11,30.1,17.2,3.7,NA,NA,NA,NA,NA
6712,R2,Lake Pleasant integrated sample,cap,pleasant,11/15/2005,11,32.2,17.1,2.7,NA,NA,NA,NA,NA
6713,R2,Lake Pleasant integrated sample,cap,pleasant,11/15/2005,11,34,16.6,1.4,NA,NA,NA,NA,NA
6714,R2,Lake Pleasant integrated sample,cap,pleasant,11/15/2005,11,35.9,15.7,1,NA,NA,NA,NA,NA
6715,R2,Lake Pleasant integrated sample,cap,pleasant,11/15/2005,11,37.6,15.4,1,NA,NA,NA,NA,NA
6716,R2,Lake Pleasant integrated sample,cap,pleasant,11/15/2005,11,39.7,15.3,1.1,NA,NA,NA,NA,NA
6717,R2,Lake Pleasant integrated sample,cap,pleasant,11/15/2005,11,41.6,15.4,1.2,NA,NA,NA,NA,NA
6718,R2,Lake Pleasant integrated sample,cap,pleasant,11/15/2005,11,43.3,15,1.7,NA,NA,NA,NA,NA
6719,R2,Lake Pleasant integrated sample,cap,pleasant,11/15/2005,11,45.1,14.4,1.4,NA,NA,NA,NA,NA
6720,R2,Lake Pleasant integrated sample,cap,pleasant,11/15/2005,11,46.9,14.4,1.6,NA,NA,NA,NA,NA
6721,R2,Lake Pleasant integrated sample,cap,pleasant,11/15/2005,11,48.9,14.2,2,NA,NA,NA,NA,NA
6722,R6A,Bartlett Reservoir near outlet,verde,bartlett-0m,11/15/2005,11,0,20,5.6,NA,0.91,NA,NA,NA
6723,R6-5,Bartlett Reservoir near outlet,verde,bartlett-5m,11/15/2005,11,5,19.9,6.1,NA,NA,NA,NA,NA
6724,R6-10,Bartlett Reservoir near outlet,verde,bartlett-10m,11/15/2005,11,10,19.9,6.4,NA,NA,NA,NA,NA
6725,R6-15,Bartlett Reservoir near outlet,verde,bartlett-15m,11/15/2005,11,15,19.9,6.2,NA,NA,NA,NA,NA
6726,R6-20,Bartlett Reservoir near outlet,verde,bartlett-20m,11/15/2005,11,20,19.9,6.3,NA,NA,NA,NA,NA
6727,R6-25,Bartlett Reservoir near outlet,verde,bartlett-25m,11/15/2005,11,25,19.9,6.1,NA,NA,NA,NA,NA
6728,R6-30,Bartlett Reservoir near outlet,verde,bartlett-30m,11/15/2005,11,30,19.8,6,NA,NA,NA,NA,NA
6729,R6-35,Bartlett Reservoir near outlet,verde,bartlett-35m,11/15/2005,11,35,19.5,4.8,NA,NA,NA,NA,NA
6730,R6-40,Bartlett Reservoir near outlet,verde,bartlett-40m,11/15/2005,11,40,19.4,4.9,NA,NA,NA,NA,NA
6731,R6-45,Bartlett Reservoir near outlet,verde,bartlett-45m,11/15/2005,11,45,19.3,4.2,NA,NA,NA,NA,NA
6732,R6-50,Bartlett Reservoir near outlet,verde,bartlett-50m,11/15/2005,11,50,NA,NA,NA,NA,NA,NA,NA
6733,R9A,Saguaro Lake near inlet,salt,saguaro-0m,11/15/2005,11,0,19.2,5.9,NA,2.13,NA,NA,NA
6734,R9-5,Saguaro Lake near inlet,salt,saguaro-5m,11/15/2005,11,5,19.3,6.2,NA,NA,NA,NA,NA
6735,R9-10,Saguaro Lake near inlet,salt,saguaro-10m,11/15/2005,11,10,19.3,6.4,NA,NA,NA,NA,NA
6736,R9-15,Saguaro Lake near inlet,salt,saguaro-15m,11/15/2005,11,15,19.4,6.3,NA,NA,NA,NA,NA
6737,R9-20,Saguaro Lake near inlet,salt,saguaro-20m,11/15/2005,11,20,19.4,6,NA,NA,NA,NA,NA
6738,R9-25,Saguaro Lake near inlet,salt,saguaro-25m,11/15/2005,11,25,19.4,5.8,NA,NA,NA,NA,NA
6739,R9-30,Saguaro Lake near inlet,salt,saguaro-30m,11/15/2005,11,30,19.3,5.5,NA,NA,NA,NA,NA
6740,R9-35,Saguaro Lake near inlet,salt,saguaro-35m,11/15/2005,11,35,NA,NA,NA,NA,NA,NA,NA
6741,R9-40,Saguaro Lake near inlet,salt,saguaro-40m,11/15/2005,11,40,NA,NA,NA,NA,NA,NA,NA
6742,R9-45,Saguaro Lake near inlet,salt,saguaro-45m,11/15/2005,11,45,NA,NA,NA,NA,NA,NA,NA
6743,R9-50,Saguaro Lake near inlet,salt,saguaro-50m,11/15/2005,11,50,NA,NA,NA,NA,NA,NA,NA
6744,R20,Verde River at Tangle,verde,verde abv horseshoe,11/15/2005,11,NA,NA,NA,NA,NA,NA,NA,NA
6745,Havasu 1,Havasu lake Sample,NA,Havasu 1,11/15/2005,11,NA,NA,NA,NA,NA,NA,NA,NA
6746,Havasu 2,Havasu lake Sample,NA,Havasu 2,11/15/2005,11,NA,NA,NA,NA,NA,NA,NA,NA
6747,Roosvelt,SRP above Roosevelt Lake,NA,Above Roosevelt,11/15/2005,11,NA,NA,NA,NA,NA,NA,NA,NA
6748,R1,CAP canal above Waddell Canal,cap,cap-siphon,11/15/2005,11,NA,NA,NA,NA,NA,NA,NA,NA
6749,R4,Cap Canal at 7th St.,cap,cap @ 7th st,11/15/2005,11,NA,NA,NA,NA,NA,NA,NA,NA
6750,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,11/15/2005,11,NA,NA,NA,NA,NA,NA,NA,NA
6751,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,11/15/2005,11,NA,NA,NA,NA,NA,NA,NA,NA
6752,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,11/15/2005,11,NA,NA,NA,NA,NA,NA,NA,NA
6753,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,11/15/2005,11,NA,NA,NA,NA,NA,NA,NA,NA
6754,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,11/15/2005,11,NA,NA,NA,NA,NA,NA,NA,NA
6755,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,11/15/2005,11,NA,NA,NA,NA,NA,NA,NA,NA
6756,R3,Waddell Canal,cap,waddell canal,12/6/2005,12,NA,13.1,NA,8.3,NA,NA,NA,NA
6757,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,12/6/2005,12,NA,12.3,NA,7.9,NA,NA,NA,NA
6758,R11,CAP Canal at Cross-connect,cap,cap @ x con,12/6/2005,12,NA,11.9,NA,8.1,NA,NA,NA,NA
6759,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,12/6/2005,12,NA,10.9,NA,8.4,NA,NA,NA,NA
6760,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,12/6/2005,12,NA,NA,NA,NA,NA,NA,NA,NA
6761,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,12/6/2005,12,NA,11.3,NA,8.6,NA,NA,NA,NA
6762,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,12/6/2005,12,NA,NA,NA,NA,NA,NA,NA,NA
6763,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,12/6/2005,12,NA,10.6,NA,8.4,NA,NA,NA,NA
6764,R17,Deer Valley WTP treated water,srp,deer valley-treated,12/6/2005,12,NA,NA,NA,NA,NA,NA,NA,NA
6765,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,12/6/2005,12,NA,NA,NA,NA,NA,NA,NA,NA
6766,R19,Val Vista WTP treated water,srp,val vista-treated,12/6/2005,12,NA,NA,NA,NA,NA,NA,NA,NA
6767,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,12/6/2005,12,NA,11.9,NA,8.6,NA,NA,NA,NA
6768,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,12/6/2005,12,NA,10.3,NA,8.4,NA,NA,NA,NA
6769,R25,verde river at beeline highway,verde,verde @ beeline,12/6/2005,12,NA,10.6,NA,8.3,NA,NA,NA,NA
6770,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,12/6/2005,12,NA,11.3,NA,8.5,NA,NA,NA,NA
6771,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,12/6/2005,12,NA,10.7,NA,8.5,NA,NA,NA,NA
6772,UH In,Union Hills Inlet,cap,Union Hills Inlet,12/6/2005,12,NA,12.7,NA,8.4,NA,NA,NA,NA
6773,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,12/6/2005,12,NA,NA,NA,NA,NA,NA,NA,NA
6774,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,12/6/2005,12,NA,11.3,NA,8.6,NA,NA,NA,NA
6775,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,12/6/2005,12,NA,NA,NA,NA,NA,NA,NA,NA
6776,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,12/6/2005,12,NA,11.2,NA,8.5,NA,NA,NA,NA
6777,HTC,Head of the Tempe Canal,tempe,head of tempe canal,12/6/2005,12,NA,NA,NA,NA,NA,NA,NA,NA
6778,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,12/6/2005,12,NA,NA,NA,NA,NA,NA,NA,NA
6779,SPT Out,Tempe's South Plant treated water,tempe,STP Out,12/6/2005,12,NA,NA,NA,NA,NA,NA,NA,NA
6780,Green In,Greenway WTP Inlet,srp,Green In,12/6/2005,12,NA,12.7,NA,8.5,NA,NA,NA,NA
6781,Green Out,Greenway WTP Outlet,srp,Green Out,12/6/2005,12,NA,NA,NA,NA,NA,NA,NA,NA
6782,R2,Lake Pleasant integrated sample,cap,pleasant,12/6/2005,12,1.2,15.2,8.6,NA,NA,NA,NA,NA
6783,R2,Lake Pleasant integrated sample,cap,pleasant,12/6/2005,12,3.4,15.1,8.6,NA,NA,NA,NA,NA
6784,R2,Lake Pleasant integrated sample,cap,pleasant,12/6/2005,12,5.4,15.1,8.6,NA,NA,NA,NA,NA
6785,R2,Lake Pleasant integrated sample,cap,pleasant,12/6/2005,12,7.4,15.1,8.6,NA,NA,NA,NA,NA
6786,R2,Lake Pleasant integrated sample,cap,pleasant,12/6/2005,12,9.4,15.1,8.7,NA,NA,NA,NA,NA
6787,R2,Lake Pleasant integrated sample,cap,pleasant,12/6/2005,12,11.6,15.1,8.6,NA,NA,NA,NA,NA
6788,R2,Lake Pleasant integrated sample,cap,pleasant,12/6/2005,12,13.7,15.1,8.6,NA,NA,NA,NA,NA
6789,R2,Lake Pleasant integrated sample,cap,pleasant,12/6/2005,12,15.9,15,8.6,NA,NA,NA,NA,NA
6790,R2,Lake Pleasant integrated sample,cap,pleasant,12/6/2005,12,18.3,15.1,8.6,NA,NA,NA,NA,NA
6791,R2,Lake Pleasant integrated sample,cap,pleasant,12/6/2005,12,20.3,15,8.6,NA,NA,NA,NA,NA
6792,R2,Lake Pleasant integrated sample,cap,pleasant,12/6/2005,12,22.2,15,8.6,NA,NA,NA,NA,NA
6793,R2,Lake Pleasant integrated sample,cap,pleasant,12/6/2005,12,24,15,8.6,NA,NA,NA,NA,NA
6794,R2,Lake Pleasant integrated sample,cap,pleasant,12/6/2005,12,26.2,15,8.7,NA,NA,NA,NA,NA
6795,R2,Lake Pleasant integrated sample,cap,pleasant,12/6/2005,12,28.7,15,8.7,NA,NA,NA,NA,NA
6796,R2,Lake Pleasant integrated sample,cap,pleasant,12/6/2005,12,31,15,8.6,NA,NA,NA,NA,NA
6797,R2,Lake Pleasant integrated sample,cap,pleasant,12/6/2005,12,33.1,15,8.7,NA,NA,NA,NA,NA
6798,R2,Lake Pleasant integrated sample,cap,pleasant,12/6/2005,12,35.4,15,8.7,NA,NA,NA,NA,NA
6799,R2,Lake Pleasant integrated sample,cap,pleasant,12/6/2005,12,37.9,15,8.7,NA,NA,NA,NA,NA
6800,R2,Lake Pleasant integrated sample,cap,pleasant,12/6/2005,12,40.2,15,8.7,NA,NA,NA,NA,NA
6801,R2,Lake Pleasant integrated sample,cap,pleasant,12/6/2005,12,42.6,15,8.7,NA,NA,NA,NA,NA
6636,R4,Cap Canal at 7th St.,cap,cap @ 7th st,10/11/2005,10,NA,NA,NA,NA,NA,NA,NA,NA
6637,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,10/11/2005,10,NA,NA,NA,NA,NA,NA,NA,NA
6638,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,10/11/2005,10,NA,NA,NA,NA,NA,NA,NA,NA
6639,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,10/11/2005,10,NA,NA,NA,NA,NA,NA,NA,NA
6640,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,10/11/2005,10,NA,NA,NA,NA,NA,NA,NA,NA
6641,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,10/11/2005,10,NA,NA,NA,NA,NA,NA,NA,NA
6642,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,10/11/2005,10,NA,NA,NA,NA,NA,NA,NA,NA
6643,R3,Waddell Canal,cap,waddell canal,10/25/2005,10,NA,23.8,NA,8,NA,NA,NA,NA
6644,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,10/25/2005,10,NA,22.9,NA,8.5,NA,NA,NA,NA
6645,R11,CAP Canal at Cross-connect,cap,cap @ x con,10/25/2005,10,NA,22,NA,8.3,NA,NA,NA,NA
6646,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,10/25/2005,10,NA,21.5,NA,8.2,NA,NA,NA,NA
6647,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,10/25/2005,10,NA,NA,NA,NA,NA,NA,NA,NA
6648,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,10/25/2005,10,NA,21.2,NA,8.2,NA,NA,NA,NA
6649,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,10/25/2005,10,NA,NA,NA,NA,NA,NA,NA,NA
6650,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,10/25/2005,10,NA,21.5,NA,8.4,NA,NA,NA,NA
6651,R17,Deer Valley WTP treated water,srp,deer valley-treated,10/25/2005,10,NA,NA,NA,NA,NA,NA,NA,NA
6652,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,10/25/2005,10,NA,22.3,NA,8,NA,NA,NA,NA
6653,R19,Val Vista WTP treated water,srp,val vista-treated,10/25/2005,10,NA,NA,NA,NA,NA,NA,NA,NA
6654,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,10/25/2005,10,NA,21.7,NA,8.3,NA,NA,NA,NA
6655,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,10/25/2005,10,NA,20.4,NA,8,NA,NA,NA,NA
6656,R25,verde river at beeline highway,verde,verde @ beeline,10/25/2005,10,NA,23.6,NA,8.4,NA,NA,NA,NA
6657,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,10/25/2005,10,NA,21.8,NA,8.3,NA,NA,NA,NA
6658,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,10/25/2005,10,NA,20.5,NA,8.1,NA,NA,NA,NA
6659,UH In,Union Hills Inlet,cap,Union Hills Inlet,10/25/2005,10,NA,22.2,NA,8.3,NA,NA,NA,NA
6660,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,10/25/2005,10,NA,NA,NA,NA,NA,NA,NA,NA
6661,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,10/25/2005,10,NA,22.9,NA,8.4,NA,NA,NA,NA
6662,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,10/25/2005,10,NA,NA,NA,NA,NA,NA,NA,NA
6830,Havasu 1,Havasu lake Sample,NA,Havasu 1,12/6/2005,12,NA,NA,NA,NA,NA,NA,NA,NA
6831,Havasu 2,Havasu lake Sample,NA,Havasu 2,12/6/2005,12,NA,NA,NA,NA,NA,NA,NA,NA
6832,Roosvelt,SRP above Roosevelt Lake,NA,Above Roosevelt,12/6/2005,12,NA,NA,NA,NA,NA,NA,NA,NA
6833,R1,CAP canal above Waddell Canal,cap,cap-siphon,12/6/2005,12,NA,NA,NA,NA,NA,NA,NA,NA
6834,R4,Cap Canal at 7th St.,cap,cap @ 7th st,12/6/2005,12,NA,NA,NA,NA,NA,NA,NA,NA
6835,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,12/6/2005,12,NA,NA,NA,NA,NA,NA,NA,NA
6836,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,12/6/2005,12,NA,NA,NA,NA,NA,NA,NA,NA
6837,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,12/6/2005,12,NA,NA,NA,NA,NA,NA,NA,NA
6838,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,12/6/2005,12,NA,NA,NA,NA,NA,NA,NA,NA
6839,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,12/6/2005,12,NA,NA,NA,NA,NA,NA,NA,NA
6840,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,12/6/2005,12,NA,NA,NA,NA,NA,NA,NA,NA
1,R1,CAP canal above Waddell Canal,cap,cap-siphon,8/18/1999,8,0,31.1,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA,NA
2,R2A,Lake Pleasant integrated sample,cap,pleasant-0m,8/18/1999,8,0,28.6,6.8,NA,NA,NA,NA,NA
3,R2-5,Lake Pleasant integrated sample,cap,pleasant-5m,8/18/1999,8,5,27.9,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA,NA
4,R2-10,Lake Pleasant integrated sample,cap,pleasant-10m,8/18/1999,8,10,27.8,NA,NA,NA,NA,NA,NA
5,R2-15,Lake Pleasant integrated sample,cap,pleasant-15m,8/18/1999,8,15,20.2,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA,NA
