ID,Site_Number,Site_Location,Cluster_Name,Site_Acronym,Date,Month,Sample_Type,Tot_N,Diss_N,Tot_P,Diss_P,NO3_N,NH4_N,DON,Nutrient_comments
4440,UH In,Union Hills Inlet,cap,Union Hills Inlet,9/12/2006,9,NA,NA,NA,4.6,NA,NA,NA,NA,NA
4441,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,9/12/2006,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
4442,R11,CAP Canal at Cross-connect,cap,cap @ x con,9/12/2006,9,NA,NA,NA,13.5,NA,NA,NA,NA,NA
4443,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,9/12/2006,9,NA,NA,NA,63.7,NA,NA,NA,NA,NA
4444,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,9/12/2006,9,NA,NA,NA,64.9,NA,NA,NA,NA,NA
4445,R19,Val Vista WTP treated water,srp,val vista-treated,9/12/2006,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
4446,NA,Val Vista West WTP treated water,srp,val vista WEST-treated,9/12/2006,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
4447,HTC,Head of the Tempe Canal,tempe,head of tempe canal,9/12/2006,9,NA,NA,NA,68.6,NA,NA,NA,NA,NA
4448,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,9/12/2006,9,NA,NA,NA,52.5,NA,NA,NA,NA,NA
4449,SPT Out,Tempe's South Plant treated water,tempe,STP Out,9/12/2006,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
4450,R25,verde river at beeline highway,verde,verde @ beeline,9/12/2006,9,NA,NA,NA,229.5,NA,NA,NA,NA,NA
4451,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,9/12/2006,9,NA,NA,NA,38.5,NA,NA,NA,NA,NA
4452,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,9/12/2006,9,NA,NA,NA,11.7,NA,NA,NA,NA,NA
4453,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,9/12/2006,9,NA,NA,NA,71.1,NA,NA,NA,NA,NA
4454,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,9/12/2006,9,NA,NA,NA,73,NA,NA,NA,NA,NA
4455,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,9/12/2006,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
4456,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,9/12/2006,9,NA,NA,NA,91.5,NA,NA,NA,NA,NA
4457,R17,Deer Valley WTP treated water,srp,deer valley-treated,9/12/2006,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
4458,Green In,Greenway WTP Inlet,srp,Green In,9/12/2006,9,NA,NA,NA,61,NA,NA,NA,NA,NA
4459,Green Out,Greenway WTP Outlet,srp,Green Out,9/12/2006,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
4460,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,9/12/2006,9,NA,NA,NA,70.4,NA,NA,NA,NA,NA
4461,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,9/12/2006,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
4462,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,9/12/2006,9,NA,NA,NA,3.8,NA,NA,NA,NA,NA
4463,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,9/12/2006,9,NA,NA,NA,13.7,NA,NA,NA,NA,NA
4464,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,9/12/2006,9,NA,NA,NA,2.6,NA,NA,NA,NA,NA
4465,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,9/12/2006,9,NA,NA,NA,8.2,NA,NA,NA,NA,NA
4466,R9A,Saguaro Lake near inlet,salt,saguaro-epi,9/12/2006,9,NA,NA,NA,5.1,NA,NA,NA,NA,NA
4467,R9A-Dup,Saguaro Lake near inlet,NA,saguaro-epi dup,9/12/2006,9,NA,NA,NA,2.4,NA,NA,NA,NA,NA
4468,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,9/12/2006,9,NA,NA,NA,16.8,NA,NA,NA,NA,NA
4469,R20,Verde River at Tangle,verde,verde abv horseshoe,9/12/2006,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
4470,Havasu 1,Havasu lake Sample,NA,Havasu 1,9/12/2006,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
4471,Havasu 2,Havasu lake Sample,NA,Havasu 2,9/12/2006,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
4472,Roosvelt,SRP above Roosevelt Lake,NA,Above Roosevelt,9/12/2006,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
4473,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,9/12/2006,9,NA,NA,NA,82,NA,NA,NA,NA,NA
4474,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,9/12/2006,9,NA,NA,NA,89.7,NA,NA,NA,NA,NA
4475,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,9/12/2006,9,NA,NA,NA,94.3,NA,NA,NA,NA,NA
4476,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,9/12/2006,9,NA,NA,NA,64.7,NA,NA,NA,NA,NA
4477,R1,CAP canal above Waddell Canal,cap,cap-siphon,9/12/2006,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
4478,R4,Cap Canal at 7th St.,cap,cap @ 7th st,9/12/2006,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
4479,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,9/12/2006,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
4480,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,9/12/2006,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
4481,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,9/12/2006,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
4482,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,9/12/2006,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
4483,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,9/12/2006,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
4484,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,9/12/2006,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
4485,R3,Waddell Canal,cap,waddell canal,10/10/2006,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
4486,UH In,Union Hills Inlet,cap,Union Hills Inlet,10/10/2006,10,NA,NA,NA,13.1,NA,NA,NA,NA,NA
4487,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,10/10/2006,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
4488,R11,CAP Canal at Cross-connect,cap,cap @ x con,10/10/2006,10,NA,NA,NA,11.2,NA,NA,NA,NA,NA
4489,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,10/10/2006,10,NA,NA,NA,57.2,NA,NA,NA,NA,NA
4490,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,10/10/2006,10,NA,NA,NA,90.3,NA,NA,NA,NA,NA
4491,R19,Val Vista WTP treated water,srp,val vista-treated,10/10/2006,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
4492,NA,Val Vista West WTP treated water,srp,val vista WEST-treated,10/10/2006,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
4493,HTC,Head of the Tempe Canal,tempe,head of tempe canal,10/10/2006,10,NA,NA,NA,66.1,NA,NA,NA,NA,NA
4494,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,10/10/2006,10,NA,NA,NA,41.1,NA,NA,NA,NA,NA
4495,SPT Out,Tempe's South Plant treated water,tempe,STP Out,10/10/2006,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
4496,R25,verde river at beeline highway,verde,verde @ beeline,10/10/2006,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
4497,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,10/10/2006,10,NA,NA,NA,35.5,NA,NA,NA,NA,NA
4498,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,10/10/2006,10,NA,NA,NA,9.1,NA,NA,NA,NA,NA
4499,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,10/10/2006,10,NA,NA,NA,48.3,NA,NA,NA,NA,NA
4500,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,10/10/2006,10,NA,NA,NA,11.2,NA,NA,NA,NA,NA
4501,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,10/10/2006,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
4502,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,10/10/2006,10,NA,NA,NA,78.3,NA,NA,NA,NA,NA
4503,R17,Deer Valley WTP treated water,srp,deer valley-treated,10/10/2006,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
4504,Green In,Greenway WTP Inlet,srp,Green In,10/10/2006,10,NA,NA,NA,46.2,NA,NA,NA,NA,NA
4505,Green Out,Greenway WTP Outlet,srp,Green Out,10/10/2006,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
4506,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,10/10/2006,10,NA,NA,NA,69.7,NA,NA,NA,NA,NA
4507,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,10/10/2006,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
4508,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,10/10/2006,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
4509,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,10/10/2006,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
4510,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,10/10/2006,10,NA,NA,NA,6.6,NA,NA,NA,NA,NA
4511,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,10/10/2006,10,NA,NA,NA,8.3,NA,NA,NA,NA,NA
4512,R9A,Saguaro Lake near inlet,salt,saguaro-epi,10/10/2006,10,NA,NA,NA,11.6,NA,NA,NA,NA,NA
4513,R9A-Dup,Saguaro Lake near inlet,NA,saguaro-epi dup,10/10/2006,10,NA,NA,NA,12.6,NA,NA,NA,NA,NA
4514,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,10/10/2006,10,NA,NA,NA,25.7,NA,NA,NA,NA,NA
3758,R3,Waddell Canal,cap,waddell canal,6/14/2005,6,NA,NA,0.29,26.9,NA,NA,NA,NA,NA
3759,UH In,Union Hills Inlet,cap,Union Hills Inlet,6/14/2005,6,NA,NA,0.21,9.6,NA,NA,NA,NA,NA
3760,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,6/14/2005,6,NA,NA,0.18,NA,NA,NA,NA,NA,NA
3761,R11,CAP Canal at Cross-connect,cap,cap @ x con,6/14/2005,6,NA,NA,0.31,5,NA,NA,NA,NA,NA
3762,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,6/14/2005,6,NA,NA,0.18,NA,NA,NA,NA,NA,NA
3763,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,6/14/2005,6,NA,NA,0.15,14,NA,NA,NA,NA,NA
3764,R19,Val Vista WTP treated water,srp,val vista-treated,6/14/2005,6,NA,NA,0.14,NA,NA,NA,NA,NA,NA
3765,HTC,Head of the Tempe Canal,tempe,head of tempe canal,6/14/2005,6,NA,NA,0.13,23.6,NA,NA,NA,NA,NA
3766,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,6/14/2005,6,NA,NA,0.18,8,NA,NA,NA,NA,NA
3767,SPT Out,Tempe's South Plant treated water,tempe,STP Out,6/14/2005,6,NA,NA,0.16,NA,NA,NA,NA,NA,NA
3768,R25,verde river at beeline highway,verde,verde @ beeline,6/14/2005,6,NA,NA,0.12,44.3,NA,NA,NA,NA,NA
3769,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,6/14/2005,6,NA,NA,0.26,19.4,NA,NA,NA,NA,NA
3770,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,6/14/2005,6,NA,NA,0.13,13.9,NA,NA,NA,NA,NA
3771,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,6/14/2005,6,NA,NA,0.16,11.5,NA,NA,NA,NA,NA
3772,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,6/14/2005,6,NA,NA,0.1,34.6,NA,NA,NA,NA,NA
3773,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,6/14/2005,6,NA,NA,0.1,NA,NA,NA,NA,NA,NA
3774,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,6/14/2005,6,NA,NA,0.11,23.9,NA,NA,NA,NA,NA
3775,R17,Deer Valley WTP treated water,srp,deer valley-treated,6/14/2005,6,NA,NA,0.09,NA,NA,NA,NA,NA,NA
3776,Green In,Greenway WTP Inlet,srp,Green In,6/14/2005,6,NA,NA,0.13,21.7,NA,NA,NA,NA,NA
3777,Green Out,Greenway WTP Outlet,srp,Green Out,6/14/2005,6,NA,NA,0.22,NA,NA,NA,NA,NA,NA
3778,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,6/14/2005,6,NA,NA,0.1,23.6,NA,NA,NA,NA,NA
3779,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,6/14/2005,6,NA,NA,0.11,NA,NA,NA,NA,NA,NA
3780,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,6/14/2005,6,NA,NA,0.1,11.5,NA,NA,NA,NA,NA
3781,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,6/14/2005,6,NA,NA,0.19,29.6,NA,NA,NA,NA,NA
3782,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,6/14/2005,6,NA,NA,0.08,13.2,NA,NA,NA,NA,NA
3783,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,6/14/2005,6,NA,NA,0.1,17.5,NA,NA,NA,NA,NA
3784,R9A,Saguaro Lake near inlet,salt,saguaro-epi,6/14/2005,6,NA,NA,0.16,14.3,NA,NA,NA,NA,NA
3785,R9A-Dup,Saguaro Lake near inlet,NA,saguaro-epi dup,6/14/2005,6,NA,NA,0.14,16.8,NA,NA,NA,NA,NA
3786,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,6/14/2005,6,NA,NA,0.23,21.2,NA,NA,NA,NA,NA
3787,R20,Verde River at Tangle,verde,verde abv horseshoe,6/14/2005,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
3788,Havasu 1,Havasu lake Sample,NA,Havasu 1,6/14/2005,6,NA,NA,0.19,7.9,NA,NA,NA,NA,NA
3789,Havasu 2,Havasu lake Sample,NA,Havasu 2,6/14/2005,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
3790,Roosvelt,SRP above Roosevelt Lake,NA,Above Roosevelt,6/14/2005,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
3791,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,6/14/2005,6,NA,NA,0.11,NA,NA,NA,NA,NA,NA
3792,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,6/14/2005,6,NA,NA,0.13,NA,NA,NA,NA,NA,NA
3793,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,6/14/2005,6,NA,NA,0.13,NA,NA,NA,NA,NA,NA
3794,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,6/14/2005,6,NA,NA,0.08,56.4,NA,NA,NA,NA,NA
3795,R1,CAP canal above Waddell Canal,cap,cap-siphon,6/14/2005,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
3796,R4,Cap Canal at 7th St.,cap,cap @ 7th st,6/14/2005,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
3797,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,6/14/2005,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
3798,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,6/14/2005,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
3799,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,6/14/2005,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
3800,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,6/14/2005,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
3801,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,6/14/2005,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
3802,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,6/14/2005,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
3803,R3,Waddell Canal,cap,waddell canal,7/12/2005,7,NA,NA,0.16,23.6,NA,NA,NA,NA,NA
3804,UH In,Union Hills Inlet,cap,Union Hills Inlet,7/12/2005,7,NA,NA,0.13,8.5,NA,NA,NA,NA,NA
3805,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,7/12/2005,7,NA,NA,0.11,NA,NA,NA,NA,NA,NA
3806,R11,CAP Canal at Cross-connect,cap,cap @ x con,7/12/2005,7,NA,NA,0.12,7.5,NA,NA,NA,NA,NA
3807,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,7/12/2005,7,NA,NA,0.09,NA,NA,NA,NA,NA,NA
3808,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,7/12/2005,7,NA,NA,0.07,13.7,NA,NA,NA,NA,NA
3809,R19,Val Vista WTP treated water,srp,val vista-treated,7/12/2005,7,NA,NA,0.06,NA,NA,NA,NA,NA,NA
3810,HTC,Head of the Tempe Canal,tempe,head of tempe canal,7/12/2005,7,NA,NA,0.08,27.1,NA,NA,NA,NA,NA
3811,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,7/12/2005,7,NA,NA,0.09,7.4,NA,NA,NA,NA,NA
3812,SPT Out,Tempe's South Plant treated water,tempe,STP Out,7/12/2005,7,NA,NA,0.08,NA,NA,NA,NA,NA,NA
3813,R25,verde river at beeline highway,verde,verde @ beeline,7/12/2005,7,NA,NA,0.05,34,NA,NA,NA,NA,NA
3814,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,7/12/2005,7,NA,NA,0.14,17.5,NA,NA,NA,NA,NA
3815,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,7/12/2005,7,NA,NA,0.07,8.8,NA,NA,NA,NA,NA
3816,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,7/12/2005,7,NA,NA,0.08,12.7,NA,NA,NA,NA,NA
3817,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,7/12/2005,7,NA,NA,0.09,4.7,NA,NA,NA,NA,NA
3818,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,7/12/2005,7,NA,NA,0.06,NA,NA,NA,NA,NA,NA
3819,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,7/12/2005,7,NA,NA,0.07,25.4,NA,NA,NA,NA,NA
3820,R17,Deer Valley WTP treated water,srp,deer valley-treated,7/12/2005,7,NA,NA,0.06,NA,NA,NA,NA,NA,NA
3821,Green In,Greenway WTP Inlet,srp,Green In,7/12/2005,7,NA,NA,0.08,13.8,NA,NA,NA,NA,NA
3822,Green Out,Greenway WTP Outlet,srp,Green Out,7/12/2005,7,NA,NA,0.07,NA,NA,NA,NA,NA,NA
3823,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,7/12/2005,7,NA,NA,0.08,18.6,NA,NA,NA,NA,NA
3824,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,7/12/2005,7,NA,NA,0.06,NA,NA,NA,NA,NA,NA
3825,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,7/12/2005,7,NA,NA,0.09,0,NA,NA,NA,NA,NA
3826,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,7/12/2005,7,NA,NA,0.17,2.1,NA,NA,NA,NA,NA
3827,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,7/12/2005,7,NA,NA,0.11,0,NA,NA,NA,NA,NA
3828,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,7/12/2005,7,NA,NA,0.13,0,NA,NA,NA,NA,NA
3829,R9A,Saguaro Lake near inlet,salt,saguaro-epi,7/12/2005,7,NA,NA,0.13,11.5,NA,NA,NA,NA,NA
3830,R9A-Dup,Saguaro Lake near inlet,NA,saguaro-epi dup,7/12/2005,7,NA,NA,0.13,9,NA,NA,NA,NA,NA
3831,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,7/12/2005,7,NA,NA,0.2,5,NA,NA,NA,NA,NA
3832,R20,Verde River at Tangle,verde,verde abv horseshoe,7/12/2005,7,NA,NA,0.12,44.5,NA,NA,NA,NA,NA
3833,Havasu 1,Havasu lake Sample,NA,Havasu 1,7/12/2005,7,NA,NA,0.14,0,NA,NA,NA,NA,NA
3834,Havasu 2,Havasu lake Sample,NA,Havasu 2,7/12/2005,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
3835,Roosvelt,SRP above Roosevelt Lake,NA,Above Roosevelt,7/12/2005,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
3836,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,7/12/2005,7,NA,NA,0.09,NA,NA,NA,NA,NA,NA
3837,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,7/12/2005,7,NA,NA,0.09,NA,NA,NA,NA,NA,NA
3838,Hwy 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,7/12/2005,7,NA,NA,0.08,NA,NA,NA,NA,NA,NA
3839,Pima,AZ Canal at Pima Rd.,srp,az canal @ pima,7/12/2005,7,NA,NA,0.08,18.4,NA,NA,NA,NA,NA
3840,R1,CAP canal above Waddell Canal,cap,cap-siphon,7/12/2005,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
3841,R4,Cap Canal at 7th St.,cap,cap @ 7th st,7/12/2005,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
3842,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,7/12/2005,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
3843,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,7/12/2005,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
3844,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,7/12/2005,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
3845,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,7/12/2005,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
3846,Mesa,AZ Canal at Mesa Dr.,srp,az canal @ Mesa,7/12/2005,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
3847,Scotts,AZ Canal at Scottsdale Rd.,srp,az canal @ scotts.,7/12/2005,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
3848,R3,Waddell Canal,cap,waddell canal,8/15/2005,8,NA,NA,0.18,27.2,NA,NA,NA,NA,NA
3849,UH In,Union Hills Inlet,cap,Union Hills Inlet,8/16/2005,8,NA,NA,0.13,16.5,NA,NA,NA,NA,NA
3850,UH Out,Union Hills Treated Water,cap,Union Hills Outlet,8/16/2005,8,NA,NA,0.11,NA,NA,NA,NA,NA,NA
3851,R11,CAP Canal at Cross-connect,cap,cap @ x con,8/16/2005,8,NA,NA,0.17,0,NA,NA,NA,NA,NA
3852,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,8/16/2005,8,NA,NA,0.11,NA,NA,NA,NA,NA,NA
3853,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,8/16/2005,8,NA,NA,0.12,48.4,NA,NA,NA,NA,NA
3854,R19,Val Vista WTP treated water,srp,val vista-treated,8/16/2005,8,NA,NA,0.09,NA,NA,NA,NA,NA,NA
3855,HTC,Head of the Tempe Canal,tempe,head of tempe canal,8/16/2005,8,NA,NA,0.13,48.4,NA,NA,NA,NA,NA
3856,SPT In,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,8/16/2005,8,NA,NA,0.16,21.4,NA,NA,NA,NA,NA
3857,SPT Out,Tempe's South Plant treated water,tempe,STP Out,8/16/2005,8,NA,NA,0.14,NA,NA,NA,NA,NA,NA
3858,R25,verde river at beeline highway,verde,verde @ beeline,8/16/2005,8,NA,NA,0.09,57.4,NA,NA,NA,NA,NA
3859,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,8/16/2005,8,NA,NA,0.13,22.4,NA,NA,NA,NA,NA
3860,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,8/16/2005,8,NA,NA,0.09,53.5,NA,NA,NA,NA,NA
3861,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,8/16/2005,8,NA,NA,0.11,41,NA,NA,NA,NA,NA
3862,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,8/16/2005,8,NA,NA,0.16,0,NA,NA,NA,NA,NA
3863,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,8/16/2005,8,NA,NA,0.14,NA,NA,NA,NA,NA,NA
3864,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,8/16/2005,8,NA,NA,0.16,46,NA,NA,NA,NA,NA
3865,R17,Deer Valley WTP treated water,srp,deer valley-treated,8/16/2005,8,NA,NA,0.15,NA,NA,NA,NA,NA,NA
3866,Green In,Greenway WTP Inlet,srp,Green In,8/16/2005,8,NA,NA,0.55,34.9,NA,NA,NA,NA,NA
3867,Green Out,Greenway WTP Outlet,srp,Green Out,8/16/2005,8,NA,NA,0.41,NA,NA,NA,NA,NA,NA
3868,NP In,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,8/16/2005,8,NA,NA,0.18,31.9,NA,NA,NA,NA,NA
3869,NP Out,Tempe's North Plant treated water,tempe,north plant outlet,8/16/2005,8,NA,NA,0.11,NA,NA,NA,NA,NA,NA
3870,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,8/16/2005,8,NA,NA,0.15,6.7,NA,NA,NA,NA,NA
3871,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,8/16/2005,8,NA,NA,0.13,9.1,NA,NA,NA,NA,NA
3872,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,8/16/2005,8,NA,NA,0.09,0,NA,NA,NA,NA,NA
3873,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,8/16/2005,8,NA,NA,0.1,0,NA,NA,NA,NA,NA
3874,R9A,Saguaro Lake near inlet,salt,saguaro-epi,8/16/2005,8,NA,NA,0.12,0,NA,NA,NA,NA,NA
3875,R9A-Dup,Saguaro Lake near inlet,NA,saguaro-epi dup,8/16/2005,8,NA,NA,0.12,2.6,NA,NA,NA,NA,NA
3876,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,8/16/2005,8,NA,NA,0.15,15.6,NA,NA,NA,NA,NA
3877,R20,Verde River at Tangle,verde,verde abv horseshoe,8/16/2005,8,NA,NA,0.1,318.3,NA,NA,NA,NA,NA
3878,Havasu 1,Havasu lake Sample,NA,Havasu 1,8/16/2005,8,NA,NA,0.12,0,NA,NA,NA,NA,NA
3879,Havasu 2,Havasu lake Sample,NA,Havasu 2,8/16/2005,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
3880,Roosvelt,SRP above Roosevelt Lake,NA,Above Roosevelt,8/16/2005,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
