ID,SiteNumber,SiteLocation,ClusterName,SiteAcronym,Date,Month,SampleType,Conductance,ChlA,Phaeophytin,PhaeophytinChlA,Chlorophyta,Cyanophyta,Bacillariophyta,Total,AlgaeComments
50,R20,Verde River at Tangle,verde,verde abv horseshoe,9/29/1999,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,R1,CAP canal above Waddell Canal,cap,cap-siphon,10/12/1999,10,NA,760,1.2,0,2,0,7,68,75,NA
52,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,10/12/1999,10,NA,850,2.3,0.3,2,14,28,94,136,NA
53,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,10/12/1999,10,NA,810,2.2,0.3,2,7,58,136,201,NA
54,R3,Waddell Canal,cap,waddell canal,10/12/1999,10,NA,770,1.7,0.5,1.3,0,72,78,150,NA
55,R4,Cap Canal at 7th St.,cap,cap @ 7th st,10/12/1999,10,NA,760,1.1,0,1.3,14,7,100,121,NA
56,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,10/14/1999,10,NA,425,6,0,6,0,14,86,100,NA
57,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,10/14/1999,10,NA,495,5.7,2.5,4,14,21,93,128,NA
58,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,10/14/1999,10,NA,490,5.9,1.9,4.7,14,21,107,142,NA
59,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,10/14/1999,10,NA,480,5.1,3.9,2.7,43,43,180,266,NA
60,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,10/14/1999,10,NA,1120,7.4,1.9,6,36,29,7,72,NA
61,R9A,Saguaro Lake near inlet,salt,saguaro-epi,10/14/1999,10,NA,1150,4.8,1.1,4,35,43,57,135,NA
62,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,10/14/1999,10,NA,1180,4.2,1.3,3.3,0,51,86,137,NA
63,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,10/14/1999,10,NA,1180,4,0.9,3.3,7,7,108,122,NA
64,R11,CAP Canal at Cross-connect,cap,cap @ x con,10/13/1999,10,NA,780,2.8,0,3.3,0,29,158,187,NA
65,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,10/13/1999,10,NA,1010,4.8,2.3,3.3,0,50,481,531,NA
66,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,10/13/1999,10,NA,1000,4.8,2.3,3.3,0,14,345,359,NA
67,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,10/13/1999,10,NA,995,5.9,4.1,3.3,0,14,142,156,NA
68,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,10/13/1999,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,10/13/1999,10,NA,995,2.2,0.3,2,0,7,120,127,NA
70,R17,Deer Valley WTP treated water,srp,deer valley-treated,10/13/1999,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,10/13/1999,10,NA,995,2.8,0.1,2.7,0,28,338,366,NA
72,R19,Val Vista WTP treated water,srp,val vista-treated,10/13/1999,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,field_blank,field blank,NA,NA,10/13/1999,10,field blank,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,lab_blank,laboratory blank,NA,NA,10/13/1999,10,lab blank,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,R20,Verde River at Tangle,verde,verde abv horseshoe,10/30/1999,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,R1,CAP canal above Waddell Canal,cap,cap-siphon,11/16/1999,11,NA,705,2.6,0,3.3,0,36,79,115,NA
77,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,11/16/1999,11,NA,745,4.3,0,4.7,4,26,57,87,NA
78,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,11/16/1999,11,NA,775,2.1,0,2.7,14,129,309,452,NA
79,R3,Waddell Canal,cap,waddell canal,11/16/1999,11,NA,690,1.4,0.1,1.3,0,0,1022,1022,NA
80,R4,Cap Canal at 7th St.,cap,cap @ 7th st,11/17/1999,11,NA,705,0.8,0.3,0.7,29,14,569,612,NA
81,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,11/16/1999,11,NA,439,8.6,4.9,5.3,36,72,368,476,NA
82,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,11/16/1999,11,NA,432,2,1,1.3,0,58,186,244,NA
83,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,11/16/1999,11,NA,439,1.7,1.7,0.7,14,51,360,425,NA
84,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,11/16/1999,11,NA,435,1.8,0.5,1.3,28,50,503,581,NA
85,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,11/15/1999,11,NA,1185,1.7,0.5,1.3,0,76,36,112,NA
86,R9A,Saguaro Lake near inlet,salt,saguaro-epi,11/15/1999,11,NA,1120,10,0.5,9.3,7,36,1000,1043,NA
87,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,11/15/1999,11,NA,1125,4.5,2.9,2.7,14,22,438,474,NA
88,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,11/15/1999,11,NA,1190,1.5,1.2,0.7,4,4,41,49,NA
89,R11,CAP Canal at Cross-connect,cap,cap @ x con,11/15/1999,11,NA,730,1.2,0,1.3,0,21,504,525,NA
90,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,11/15/1999,11,NA,495,4.6,2.9,2.7,7,7,489,503,NA
91,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,11/15/1999,11,NA,495,4.9,3.4,2.7,7,0,483,490,NA
92,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,11/17/1999,11,NA,500,4.8,4.5,2,0,0,395,395,NA
93,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,11/17/1999,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,11/17/1999,11,NA,495,1.1,0,1.3,0,65,474,539,NA
95,R17,Deer Valley WTP treated water,srp,deer valley-treated,11/17/1999,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,11/17/1999,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,south canal shut-down
97,R19,Val Vista WTP treated water,srp,val vista-treated,11/17/1999,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,field_blank,field blank,NA,NA,11/17/1999,11,field blank,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,lab_blank,laboratory blank,NA,NA,11/17/1999,11,lab blank,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,R20,Verde River at Tangle,verde,verde abv horseshoe,11/30/1999,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,R1,CAP canal above Waddell Canal,cap,cap-siphon,12/15/1999,12,NA,715,0.3,0,0.7,0,4,346,350,NA
102,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,12/15/1999,12,NA,755,0,0,1.3,0,4,148,152,NA
103,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,12/15/1999,12,NA,745,0.4,0,0.7,21,0,137,158,NA
104,R3,Waddell Canal,cap,waddell canal,12/15/1999,12,NA,703,0,0,0,4,0,328,332,NA
105,R4,Cap Canal at 7th St.,cap,cap @ 7th st,12/16/1999,12,NA,655,2,1,1.3,0,0,51,51,NA
106,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,12/15/1999,12,NA,504,15.2,4.8,12,0,14,511,525,NA
107,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,12/15/1999,12,NA,417,2.1,1.5,1.3,4,0,91,95,NA
108,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,12/15/1999,12,NA,420,4.9,6.1,1.3,0,0,266,266,NA
109,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,12/15/1999,12,NA,427,0.2,0.5,0,0,0,171,171,NA
110,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,12/14/1999,12,NA,1230,1.1,0,2,0,11,62,73,NA
111,R9A,Saguaro Lake near inlet,salt,saguaro-epi,12/14/1999,12,NA,1225,7.2,7.6,2.7,7,14,301,322,NA
112,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,12/14/1999,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,12/14/1999,12,NA,1233,1.1,0,2,0,4,90,94,NA
114,R11,CAP Canal at Cross-connect,cap,cap @ x con,12/14/1999,12,NA,795,1.4,0,2,0,4,153,157,NA
115,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,12/14/1999,12,NA,503,4,2,2.7,7,14,337,358,NA
116,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,12/14/1999,12,NA,520,5.5,7.1,1.3,0,7,295,302,NA
117,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,12/16/1999,12,NA,415,6,3,4,7,58,648,712,NA
118,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,12/16/1999,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,12/16/1999,12,NA,420,2.8,1.3,2,0,7,517,524,NA
120,R17,Deer Valley WTP treated water,srp,deer valley-treated,12/16/1999,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,12/16/1999,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,south canal shut-down
122,R19,Val Vista WTP treated water,srp,val vista-treated,12/16/1999,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,field_blank,field blank,NA,NA,12/16/1999,12,field blank,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,lab_blank,laboratory blank,NA,NA,12/16/1999,12,lab blank,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,R20,Verde River at Tangle,verde,verde abv horseshoe,12/30/1999,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,R1,CAP canal above Waddell Canal,cap,cap-siphon,1/12/2000,1,NA,762,2.8,0,3.3,0,0,705,712,NA
127,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,1/12/2000,1,NA,790,4.8,0,4.7,7,0,223,230,NA
128,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,1/12/2000,1,NA,775,3.4,1.1,2.7,7,7,143,157,NA
129,R3,Waddell Canal,cap,waddell canal,1/12/2000,1,NA,728,1.9,0,2,0,7,820,827,NA
130,R4,Cap Canal at 7th St.,cap,cap @ 7th st,1/12/2000,1,NA,742,1.7,0,2,7,0,1245,1252,NA
131,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,1/12/2000,1,NA,520,7.7,1.3,6.7,7,0,303,310,NA
132,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,1/12/2000,1,NA,486,2.8,0.1,2.7,14,7,295,316,NA
133,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,1/12/2000,1,NA,499,3.4,3.3,1.3,7,0,417,424,NA
134,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,1/12/2000,1,NA,494,4.3,0.2,4,0,7,266,273,NA
135,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,1/11/2000,1,NA,1141,1.4,0.1,1.3,14,7,122,143,NA
136,R9A,Saguaro Lake near inlet,salt,saguaro-epi,1/11/2000,1,NA,1104,2.8,1.3,2,4,0,72,76,NA
137,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,1/11/2000,1,NA,1102,2.8,0.1,2.7,21,7,108,136,NA
138,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,1/11/2000,1,NA,1145,4.8,2.3,3.3,14,7,474,495,NA
139,R11,CAP Canal at Cross-connect,cap,cap @ x con,1/11/2000,1,NA,719,1.6,0,2,0,0,229,229,NA
140,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,1/11/2000,1,NA,496,4.2,2.5,2.7,0,0,265,265,sample taken on south canal
141,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,1/11/2000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,az canal shut-down
142,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,1/11/2000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,az canal shut-down
143,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,1/11/2000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,1/11/2000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,az canal shut-down
145,R17,Deer Valley WTP treated water,srp,deer valley-treated,1/11/2000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,1/11/2000,1,NA,593,6.8,3.3,4.7,0,14,258,272,NA
147,R19,Val Vista WTP treated water,srp,val vista-treated,1/11/2000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,field_blank,field blank,NA,NA,1/11/2000,1,field blank,NA,NA,NA,NA,NA,NA,NA,NA,NA
149,lab_blank,laboratory blank,NA,NA,1/11/2000,1,lab blank,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,R20,Verde River at Tangle,verde,verde abv horseshoe,1/30/2000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151,R1,CAP canal above Waddell Canal,cap,cap-siphon,2/15/2000,2,NA,704,0.9,0,1.3,0,0,87,87,NA
152,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,2/15/2000,2,NA,715,0.1,0,1.3,8,0,48,56,NA
153,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,2/15/2000,2,NA,732,0.1,0,0.7,0,0,22,22,NA
154,R3,Waddell Canal,cap,waddell canal,2/15/2000,2,NA,700,0.9,0,1.3,0,0,130,130,NA
155,R4,Cap Canal at 7th St.,cap,cap @ 7th st,2/15/2000,2,NA,690,2.6,0,2.7,0,0,331,331,NA
156,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,2/15/2000,2,NA,488,5.5,3.2,3.3,0,0,257,286,NA
157,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,2/15/2000,2,NA,483,2.3,0.3,2,12,0,34,46,NA
158,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,2/15/2000,2,NA,466,3.4,0,3.3,7,7,37,51,NA
159,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,2/15/2000,2,NA,473,2,0,2,0,0,102,102,NA
160,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,2/14/2000,2,NA,1077,1.8,0,2,0,0,0,7,NA
161,R9A,Saguaro Lake near inlet,salt,saguaro-epi,2/14/2000,2,NA,1081,3.5,0,4,7,0,4,11,NA
162,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,2/14/2000,2,NA,1079,2.9,1.3,2,4,4,22,30,NA
163,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,2/14/2000,2,NA,1094,2.1,0,2,0,0,19,19,NA
164,R11,CAP Canal at Cross-connect,cap,cap @ x con,2/14/2000,2,NA,698,11.2,3.5,8.7,0,0,711,711,NA
165,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,2/14/2000,2,NA,495,2.7,0,2.7,7,0,230,237,NA
166,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,2/14/2000,2,NA,612,5.8,1.4,4.7,7,0,387,394,NA
167,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,2/16/2000,2,NA,619,3.8,1.5,2.7,0,0,273,273,NA
168,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,2/16/2000,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
169,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,2/16/2000,2,NA,490,1.5,0,2,0,0,309,309,NA
170,R17,Deer Valley WTP treated water,srp,deer valley-treated,2/16/2000,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
171,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,2/16/2000,2,NA,627,10.4,2.1,8.7,0,7,870,877,NA
172,R19,Val Vista WTP treated water,srp,val vista-treated,2/16/2000,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
173,field_blank,field blank,NA,NA,2/16/2000,2,field blank,NA,NA,NA,NA,NA,NA,NA,NA,NA
174,lab_blank,laboratory blank,NA,NA,2/16/2000,2,lab blank,NA,NA,NA,NA,NA,NA,NA,NA,NA
175,R20,Verde River at Tangle,verde,verde abv horseshoe,3/9/2000,3,NA,402,0.8,0.3,0.7,NA,NA,NA,NA,NA
176,R1,CAP canal above Waddell Canal,cap,cap-siphon,3/16/2000,3,NA,740,0.8,0,2,0,0,382,382,NA
177,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,3/16/2000,3,NA,760,0.5,0,0.7,0,4,47,51,NA
178,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,3/16/2000,3,NA,770,0,0,0.7,11,8,62,81,NA
179,R3,Waddell Canal,cap,waddell canal,3/16/2000,3,NA,715,0.3,0,0.7,0,21,215,236,NA
180,R4,Cap Canal at 7th St.,cap,cap @ 7th st,3/16/2000,3,NA,703,1.1,0,1.3,0,28,208,236,NA
181,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st,3/16/2000,3,field duplicate,702,0.6,0,1.3,NA,NA,NA,NA,NA
182,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,3/16/2000,3,NA,443,9,4.7,6,7,43,164,221,NA
183,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,3/16/2000,3,NA,497,2,1,1.3,0,11,15,26,NA
184,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,3/16/2000,3,NA,501,1.4,0.1,1.3,8,0,11,19,NA
185,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,3/16/2000,3,NA,495,2.2,0.3,2,7,14,266,287,NA
186,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,3/17/2000,3,NA,1120,0.5,0,0.7,0,0,8,8,NA
187,R9A,Saguaro Lake near inlet,salt,saguaro-epi,3/17/2000,3,NA,1103,2.5,0.8,2,0,0,0,0,NA
188,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,3/17/2000,3,NA,1104,5.5,8.2,0.7,0,0,251,251,NA
189,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,3/17/2000,3,NA,1127,2.2,1.5,1.3,0,7,108,115,NA
190,R11,CAP Canal at Cross-connect,cap,cap @ x con,3/17/2000,3,NA,712,3.7,0.4,3.3,0,0,271,271,NA
191,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,3/17/2000,3,NA,511,6.2,3.5,4,0,58,403,461,NA
192,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,3/17/2000,3,NA,652,4.2,1.3,3.3,7,21,166,194,NA
193,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,3/15/2000,3,NA,660,9.2,1.3,8,0,0,273,273,NA
194,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,3/15/2000,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
195,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,3/15/2000,3,NA,655,1.4,0.1,1.3,0,7,186,193,NA
196,R17,Deer Valley WTP treated water,srp,deer valley-treated,3/15/2000,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
197,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,3/15/2000,3,NA,709,2,1,1.3,14,14,188,216,NA
198,R19,Val Vista WTP treated water,srp,val vista-treated,3/15/2000,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
199,field_blank,field blank,NA,NA,3/15/2000,3,field blank,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,lab_blank,laboratory blank,NA,NA,3/15/2000,3,lab blank,NA,NA,NA,NA,NA,NA,NA,NA,NA
201,R20,Verde River at Tangle,verde,verde abv horseshoe,3/30/2000,3,NA,402,0.85,0.27,0.67,0,14,143,157,NA
202,R1,CAP canal above Waddell Canal,cap,cap-siphon,4/13/2000,4,NA,810,0.89,0,1.34,0,11,44,55,NA
203,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,4/13/2000,4,NA,857,2.88,0.13,2.67,8,4,44,56,NA
