ID,SiteNumber,SiteLocation,ClusterName,SiteAcronym,Date,Month,SampleType,TOC,DOC,UVA,SUVA,PeakInt,PeakIntWL,Intat450,Intat460,Intat500,Fl,docm_comments
1,R1,CAP canal above Waddell Canal,cap,cap-siphon,8/18/1999,8,NA,2.87,2.93,0.04,0.01,41.6,446.09,40.74,38.04,21.59,1.88,NA
2,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,8/18/1999,8,NA,3.08,3.11,0.04,0.01,38.94,445.63,37.93,35.51,20.09,1.88,NA
3,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,8/18/1999,8,NA,2.88,2.84,0.04,0.01,44.05,441.09,43.63,40.26,23.27,1.87,NA
4,R3,Waddell Canal,cap,waddell canal,8/18/1999,8,NA,2.71,2.71,0.04,0.01,44.82,446.01,44.53,40.98,23.95,1.85,NA
5,R4,Cap Canal at 7th St.,cap,cap @ 7th st,8/18/1999,8,NA,2.75,2.7,0.04,0.01,45.09,445.15,43.92,41.13,23.6,1.86,NA
6,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,8/16/1999,8,NA,2.75,2.77,0.07,0.02,92.67,446.36,92.45,87.86,52.34,1.76,NA
7,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,8/16/1999,8,NA,1.93,1.84,0.04,0.02,48.65,448.62,48.23,45.52,27.28,1.76,NA
8,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,8/16/1999,8,NA,1.73,1.61,0.04,0.02,51.89,448.74,51.38,48.71,29,1.77,NA
9,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,8/16/1999,8,NA,1.77,1.62,0.03,0.02,47.95,447.02,47.52,44.38,26.25,1.81,NA
10,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,8/17/1999,8,NA,2.74,2.66,0.05,0.01,57.45,449.44,57.35,52.71,30.95,1.85,NA
11,R9A,Saguaro Lake near inlet,salt,saguaro-epi,8/17/1999,8,NA,2.94,2.84,0.05,0.01,62.38,443.24,61.8,57.56,34.07,1.81,NA
12,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,8/17/1999,8,NA,2.91,2.81,0.05,0.01,65.02,440.7,64.43,60.53,35.87,1.79,NA
13,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,8/17/1999,8,NA,2.94,2.71,0.05,0.02,62.98,446.3,62.62,58.61,34.44,1.81,NA
14,R11,CAP Canal at Cross-connect,cap,cap @ x con,8/17/1999,8,NA,2.73,2.61,0.04,0.01,43.73,445.18,42.67,39.6,22.4,1.9,NA
15,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,8/17/1999,8,NA,3.02,2.62,0.05,0.02,61.77,446.31,60.78,56.88,33.5,1.81,NA
16,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,8/17/1999,8,NA,2.6,2.52,0.04,0.01,57.62,445.62,56.42,53.6,31.28,1.8,NA
17,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,8/18/1999,8,NA,2.48,2.41,0.04,0.01,55.83,446.23,54.83,52.01,30.81,1.77,NA
18,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,8/18/1999,8,NA,2.35,2.3,0.04,0.01,50.37,441.74,49.66,45.86,26.82,1.85,NA
19,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,8/17/1999,8,NA,2.73,2.66,0.04,0.01,57.66,446.93,57.32,53.51,31.11,1.84,NA
20,R17,Deer Valley WTP treated water,srp,deer valley-treated,8/17/1999,8,NA,2.44,2.28,0.04,0.01,51.21,442.47,50.83,47.42,26.58,1.91,NA
21,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,8/18/1999,8,NA,2.57,2.53,0.05,0.02,52.39,442.69,51.16,48.88,28.17,1.81,NA
22,R19,Val Vista WTP treated water,srp,val vista-treated,8/18/1999,8,NA,2.37,2.3,0.03,0.01,37.6,450.29,37.59,35.37,19.94,1.88,NA
23,field_blank,field blank,NA,NA,8/18/1999,8,field blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,lab_blank,laboratory blank,NA,NA,8/18/1999,8,lab blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,R20,Verde River at Tangle,verde,verde abv horseshoe,8/25/1999,8,NA,1.01,0.94,0.03,0.03,35.96,447.58,35.22,33.41,20.04,1.75,NA
26,R1,CAP canal above Waddell Canal,cap,cap-siphon,9/16/1999,9,NA,2.77,2.72,0.04,0.01,39.45,446.46,38.66,36.37,20.97,1.84,NA
27,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,9/16/1999,9,NA,3.18,3.06,0.04,0.01,33.28,447.23,32.75,30.82,17.6,1.86,NA
28,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,9/16/1999,9,NA,2.82,2.69,0.04,0.01,45.59,446.9,44.98,42.28,24.95,1.8,NA
29,R3,Waddell Canal,cap,waddell canal,9/16/1999,9,NA,2.59,2.64,0.04,0.01,45.57,447.39,45.2,42.38,24.47,1.84,NA
30,R4,Cap Canal at 7th St.,cap,cap @ 7th st,9/16/1999,9,NA,2.61,2.7,0.04,0.01,44.41,445.75,44.13,40.94,23.86,1.84,NA
31,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,9/14/1999,9,NA,2.47,2.42,0.07,0.03,84.21,447.62,83.66,79.69,48.12,1.73,NA
32,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,9/14/1999,9,NA,2.06,1.98,0.04,0.02,42.96,448.51,42.74,40.3,23.52,1.81,NA
33,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,9/14/1999,9,NA,1.93,1.91,0.04,0.02,48.11,450.37,48.08,45.11,26.77,1.79,NA
34,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,9/14/1999,9,NA,1.68,1.69,0.04,0.02,48.53,447.27,48.16,45.93,27.4,1.75,NA
35,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,9/15/1999,9,NA,2.74,2.68,0.05,0.02,56.64,448.28,56,52.99,31.18,1.79,NA
36,R9A,Saguaro Lake near inlet,salt,saguaro-epi,9/15/1999,9,NA,3.45,2.99,0.05,0.01,52.23,446,51.3,48.43,28.53,1.79,NA
37,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,9/15/1999,9,NA,3.1,2.99,0.05,0.01,57.63,446.93,56.43,53.74,31.83,1.77,NA
38,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,9/15/1999,9,NA,2.83,2.59,0.05,0.02,57.91,448.3,57.67,54.39,32.65,1.76,NA
39,R11,CAP Canal at Cross-connect,cap,cap @ x con,9/15/1999,9,NA,2.75,2.61,0.04,0.01,43.83,445.07,43.22,40.36,23.51,1.83,NA
40,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,9/15/1999,9,NA,2.6,2.53,0.05,0.02,57.25,445.26,57.13,53.77,32.44,1.76,NA
41,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,9/15/1999,9,NA,2.57,2.55,0.05,0.02,54.78,445.59,54.63,51.7,30.62,1.78,NA
42,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,9/16/1999,9,NA,2.9,2.66,0.05,0.02,62.07,447.07,61.68,58.3,34.56,1.78,NA
43,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,9/16/1999,9,NA,2.36,2.2,0.03,0.01,50.23,442.54,49.41,46.09,26.76,1.84,NA
44,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,9/16/1999,9,NA,2.92,2.57,0.05,0.01,53.58,445.89,53.11,49.97,29.44,1.8,NA
45,R17,Deer Valley WTP treated water,srp,deer valley-treated,9/16/1999,9,NA,2.48,2.31,0.04,0.01,53.45,444.63,53.01,49.39,28.96,1.83,NA
46,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,9/15/1999,9,NA,2.65,2.51,0.05,0.01,54.13,444.23,53.7,50.65,30.2,1.77,NA
47,R19,Val Vista WTP treated water,srp,val vista-treated,9/15/1999,9,NA,2.44,2.28,0.04,0.01,54.21,443.48,53.46,50.81,29.67,1.8,NA
48,field_blank,field blank,NA,NA,9/15/1999,9,field blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,lab_blank,laboratory blank,NA,NA,9/15/1999,9,lab blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,R20,Verde River at Tangle,verde,verde abv horseshoe,9/29/1999,9,NA,3.52,3.73,0.12,0.03,126.66,448.16,126.49,120.53,74.54,1.7,NA
51,R1,CAP canal above Waddell Canal,cap,cap-siphon,10/12/1999,10,NA,3.79,2.79,0.04,0.01,41.31,445.03,40.7,37.93,22.21,1.83,NA
52,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,10/12/1999,10,NA,3.41,3.33,0.04,0.01,38.47,442.8,37.66,35.61,20.41,1.84,NA
53,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,10/12/1999,10,NA,3.1,3.1,0.04,0.01,41.87,444.89,41.59,39.2,22.81,1.82,NA
54,R3,Waddell Canal,cap,waddell canal,10/12/1999,10,NA,3.18,3.2,0.04,0.01,40.35,445.5,39.73,37.23,21.45,1.85,NA
55,R4,Cap Canal at 7th St.,cap,cap @ 7th st,10/12/1999,10,NA,2.78,2.81,0.04,0.01,40.99,444.5,40.49,38.03,22.18,1.82,NA
56,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,10/14/1999,10,NA,3.22,3.28,0.09,0.02,111.67,447.75,111.12,107.02,65.88,1.68,NA
57,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,10/14/1999,10,NA,2.27,2.22,0.04,0.02,56.86,445.73,56.2,53.34,31.88,1.76,NA
58,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,10/14/1999,10,NA,2.18,2.17,0.04,0.02,56.06,448.54,55.6,52.79,31.22,1.78,NA
59,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,10/14/1999,10,NA,2.29,2.19,0.05,0.02,60.73,449.93,60.73,57.35,34.14,1.77,NA
60,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,10/14/1999,10,NA,2.77,2.7,0.05,0.01,57.03,445.61,56,52.83,31.76,1.76,NA
61,R9A,Saguaro Lake near inlet,salt,saguaro-epi,10/14/1999,10,NA,2.94,3.02,0.05,0.01,58.21,444.55,57.66,54.21,32.31,1.78,NA
62,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,10/14/1999,10,NA,2.95,3.06,0.05,0.01,62.77,445.5,61.77,59.3,34.05,1.81,NA
63,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,10/14/1999,10,NA,2.78,2.84,0.05,0.01,62.07,446.18,61.67,58.46,34.63,1.78,NA
64,R11,CAP Canal at Cross-connect,cap,cap @ x con,10/13/1999,10,NA,2.8,3.09,0.04,0.01,43.08,448.25,42.79,40.17,23.5,1.82,NA
65,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,10/13/1999,10,NA,2.6,2.4,0.04,0.01,56.98,447.71,56.58,53.68,31.9,1.77,NA
66,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,10/13/1999,10,NA,2.7,2.39,0.04,0.01,56.7,445.11,55.73,53,31.68,1.75,NA
67,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,10/13/1999,10,NA,2.66,2.58,0.05,0.02,55.05,445.61,54.68,51.31,30.48,1.79,NA
68,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,10/13/1999,10,NA,2.22,2.27,0.03,0.01,45.3,443.19,44.49,42.15,24.46,1.81,NA
69,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,10/13/1999,10,NA,2.54,2.81,0.04,0.01,54.96,445.43,54.05,51.49,30.35,1.78,NA
70,R17,Deer Valley WTP treated water,srp,deer valley-treated,10/13/1999,10,NA,2.4,2.24,0.03,0.01,49.94,445.71,49.14,46.24,26.45,1.85,NA
71,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,10/13/1999,10,NA,2.49,2.8,0.04,0.01,54.15,448.04,53.58,50.17,29.72,1.8,NA
72,R19,Val Vista WTP treated water,srp,val vista-treated,10/13/1999,10,NA,2.02,2.06,0.02,0.01,28.07,444.41,27.56,25.76,15,1.83,NA
73,field_blank,field blank,NA,NA,10/13/1999,10,field blank,NA,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,lab_blank,laboratory blank,NA,NA,10/13/1999,10,lab blank,NA,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,R20,Verde River at Tangle,verde,verde abv horseshoe,10/30/1999,10,NA,0.88,0.87,0.02,0.02,27.79,445.03,27.31,26.03,15.23,1.79,NA
76,R1,CAP canal above Waddell Canal,cap,cap-siphon,11/16/1999,11,NA,2.89,2.77,0.04,0.01,38.24,445.49,37.58,35.09,20.53,1.83,NA
77,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,11/16/1999,11,NA,3.32,3.24,0.04,0.01,39.59,441.94,38.77,36.73,21.23,1.82,NA
78,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,11/16/1999,11,NA,3.18,3.16,0.04,0.01,45.69,444.54,44.91,42.62,25.12,1.78,NA
79,R3,Waddell Canal,cap,waddell canal,11/16/1999,11,NA,2.93,2.96,0.04,0.01,37.7,441.84,37.2,34.92,20.41,1.82,NA
80,R4,Cap Canal at 7th St.,cap,cap @ 7th st,11/17/1999,11,NA,2.97,2.94,0.04,0.01,37.95,444.22,37.25,35.21,20.54,1.81,NA
81,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,11/16/1999,11,NA,3.09,3.06,0.07,0.02,84.01,444.04,83.96,79.33,48.05,1.74,NA
82,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,11/16/1999,11,NA,2.8,2.78,0.06,0.02,67.42,445.22,67.12,64.04,38.06,1.76,NA
83,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,11/16/1999,11,NA,2.86,2.71,0.06,0.02,73.14,445.95,72.67,68.58,40.93,1.77,NA
84,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,11/16/1999,11,NA,3,3.08,0.06,0.02,77.85,447.45,77.35,72.94,43.63,1.77,NA
85,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,11/15/1999,11,NA,3.3,3.23,0.05,0.01,53.75,443.14,53.17,50.25,29.93,1.77,NA
86,R9A,Saguaro Lake near inlet,salt,saguaro-epi,11/15/1999,11,NA,3.32,3.24,0.05,0.01,54.65,448.19,54.44,51.82,30.38,1.79,NA
87,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,11/15/1999,11,NA,3.45,3.12,0.05,0.01,59.96,445.64,58.81,55.66,32.8,1.79,NA
88,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,11/15/1999,11,NA,2.42,2.45,0.03,0.01,48.54,444.75,48.4,46.16,27.76,1.74,NA
89,R11,CAP Canal at Cross-connect,cap,cap @ x con,11/15/1999,11,NA,3.06,3.01,0.04,0.01,36.59,443.19,35.81,33.29,19.58,1.82,NA
90,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,11/15/1999,11,NA,2.23,2.17,0.04,0.02,57.32,445.81,56.86,54.37,32.76,1.73,NA
91,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,11/15/1999,11,NA,2.29,2.18,0.04,0.02,57.19,446.2,56.5,53.65,32.2,1.75,NA
92,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,11/17/1999,11,NA,2.72,2.56,0.05,0.02,57.2,444.76,56.31,53.1,32.65,1.72,NA
93,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,11/17/1999,11,NA,2.18,2.1,0.02,0.01,30.9,447.26,30.23,27.94,15.84,1.9,NA
94,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,11/17/1999,11,NA,2.56,2.34,0.04,0.02,57.83,445.6,57.55,54.34,32.94,1.74,NA
95,R17,Deer Valley WTP treated water,srp,deer valley-treated,11/17/1999,11,NA,2.42,2.36,0.03,0.01,53.16,445.82,52.75,49.64,29.12,1.81,NA
96,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,11/17/1999,11,NA,2.86,2.47,0.05,0.02,63.5,449.92,63.49,59.79,37.64,1.68,south canal shut-down
97,R19,Val Vista WTP treated water,srp,val vista-treated,11/17/1999,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,val vista wtp shut-down
98,field_blank,field blank,NA,NA,11/17/1999,11,field blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,lab_blank,laboratory blank,NA,NA,11/17/1999,11,lab blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,R20,Verde River at Tangle,verde,verde abv horseshoe,11/30/1999,11,NA,1.36,1.15,0.01,0.01,17.81,448.34,17.73,16.96,10.67,1.66,NA
101,R1,CAP canal above Waddell Canal,cap,cap-siphon,12/15/1999,12,NA,2.63,2.6,0.04,0.01,36.58,446.38,35.95,33.64,19.53,1.84,NA
102,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,12/15/1999,12,NA,6.65,2.98,0.04,0.01,37.44,447.46,36.62,33.9,19.97,1.83,NA
103,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,12/15/1999,12,NA,2.89,2.95,0.04,0.01,36.16,445.57,35.45,33.15,19.13,1.85,NA
104,R3,Waddell Canal,cap,waddell canal,12/15/1999,12,NA,2.6,2.59,0.04,0.01,35.93,443.06,35.29,32.72,19.1,1.84,NA
105,R4,Cap Canal at 7th St.,cap,cap @ 7th st,12/16/1999,12,NA,2.74,2.74,0.04,0.01,36.39,445.29,35.67,33.61,19.19,1.85,NA
106,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,12/15/1999,12,NA,1.34,1.55,0.03,0.02,39.3,446.82,37.97,36.19,21.79,1.74,NA
107,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,12/15/1999,12,NA,2.48,2.78,0.06,0.02,67.26,444,66.74,63.01,38.16,1.74,NA
108,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,12/15/1999,12,NA,2.45,2.42,0.06,0.02,64.88,445.84,64.29,60.6,36.73,1.75,NA
109,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,12/15/1999,12,NA,2.57,2.45,0.06,0.02,65.07,444.66,64.38,61.3,36.79,1.74,NA
110,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,12/14/1999,12,NA,3.4,2.71,0.04,0.01,50.86,446.96,50.36,47.39,28.04,1.79,NA
111,R9A,Saguaro Lake near inlet,salt,saguaro-epi,12/14/1999,12,NA,3.21,2.9,0.05,0.01,51.76,445.73,51.33,47.93,28.38,1.8,NA
112,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,12/14/1999,12,NA,3.1,3.18,0.05,0.01,53.1,446.16,52.38,49.96,30.13,1.73,NA
113,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,12/14/1999,12,NA,2.17,1.86,0.03,0.01,38.37,446.91,37.59,35.87,21.7,1.73,NA
114,R11,CAP Canal at Cross-connect,cap,cap @ x con,12/14/1999,12,NA,2.68,2.81,0.04,0.01,37.23,446.23,36.5,34.22,19.96,1.82,NA
115,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,12/14/1999,12,NA,2.06,2.86,0.05,0.01,58.43,447.71,58.13,54.64,33.32,1.74,NA
116,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,12/14/1999,12,NA,2.11,2.38,0.05,0.02,58.62,446.96,58.31,55.44,33.8,1.72,NA
117,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,12/16/1999,12,NA,2.06,2.12,0.05,0.02,53.04,444.68,52.78,49.68,30.27,1.74,NA
118,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,12/16/1999,12,NA,1.79,1.78,0.02,0.01,32.04,442.35,31.13,28.37,15.78,1.97,NA
119,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,12/16/1999,12,NA,2.09,2.73,0.04,0.01,54.66,446.94,53.94,51.38,31.02,1.73,NA
120,R17,Deer Valley WTP treated water,srp,deer valley-treated,12/16/1999,12,NA,1.87,1.91,0.03,0.01,47.37,446.33,46.51,44.21,25.91,1.79,NA
121,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,12/16/1999,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,shut-down
122,R19,Val Vista WTP treated water,srp,val vista-treated,12/16/1999,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,shut-down
123,field_blank,field blank,NA,NA,12/16/1999,12,field blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,lab_blank,laboratory blank,NA,NA,12/16/1999,12,lab blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,R20,Verde River at Tangle,verde,verde abv horseshoe,12/30/1999,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sample not taken
126,R1,CAP canal above Waddell Canal,cap,cap-siphon,1/12/2000,1,NA,2.72,2.62,0.04,0.01,38.51,445.65,37.33,34.74,20.66,1.8,NA
127,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,1/12/2000,1,NA,2.88,2.91,0.04,0.01,38.26,444.36,36.8,34.56,20.3,1.81,NA
128,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,1/12/2000,1,NA,2.87,2.77,0.04,0.01,37.35,445.49,36.3,34.08,19.9,1.82,NA
129,R3,Waddell Canal,cap,waddell canal,1/12/2000,1,NA,2.68,2.69,0.04,0.01,37.53,444.44,37.75,35.11,20.37,1.85,NA
130,R4,Cap Canal at 7th St.,cap,cap @ 7th st,1/12/2000,1,NA,2.61,2.61,0.04,0.01,40.06,445.03,39.32,36.95,21.67,1.81,NA
131,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,1/12/2000,1,NA,0.99,1.02,0.02,0.01,28.86,441.57,28.59,26.91,16.6,1.72,NA
132,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,1/12/2000,1,NA,2.3,2.2,0.05,0.02,62.31,447.25,62.03,58.69,35.05,1.77,NA
133,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,1/12/2000,1,NA,1.73,1.63,0.03,0.02,48.42,443.57,47.85,45.44,27.53,1.73,NA
134,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,1/12/2000,1,NA,1.84,1.82,0.04,0.02,51.47,446.93,50.8,47.95,28.74,1.76,NA
135,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,1/11/2000,1,NA,2.76,2.7,0.04,0.01,51.78,444.88,51.12,48.13,28.39,1.8,NA
136,R9A,Saguaro Lake near inlet,salt,saguaro-epi,1/11/2000,1,NA,2.97,2.97,0.04,0.01,54.2,446.25,53.25,49.9,30.14,1.76,NA
137,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,1/11/2000,1,NA,2.91,2.93,0.04,0.01,52.96,446.33,52.41,49.24,29.43,1.78,NA
138,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,1/11/2000,1,NA,2.05,2,0.02,0.01,38.57,446.41,37.86,36.26,21.58,1.75,NA
139,R11,CAP Canal at Cross-connect,cap,cap @ x con,1/11/2000,1,NA,2.69,2.62,0.04,0.01,39.86,441.17,39.08,36.59,21.55,1.81,NA
140,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,1/11/2000,1,NA,1.68,1.72,0.03,0.02,45.57,442.72,44.82,42.8,25.76,1.74,taken on south canal (12prime)
141,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,1/11/2000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,arizona canal shut-down
142,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,1/11/2000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,arizona canal shut-down
143,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,1/11/2000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,arizona canal shut-down
144,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,1/11/2000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,arizona canal shut-down
145,R17,Deer Valley WTP treated water,srp,deer valley-treated,1/11/2000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,arizona canal shut-down
146,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,1/11/2000,1,NA,2.03,1.83,0.03,0.02,44.11,444.63,43.74,41.54,25.13,1.74,NA
147,R19,Val Vista WTP treated water,srp,val vista-treated,1/11/2000,1,NA,1.66,1.72,0.01,0.00998,10.78,433.94,9.57,8.67,4.6,2.08,NA
148,field_blank,field blank,NA,NA,1/11/2000,1,field blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149,lab_blank,laboratory blank,NA,NA,1/11/2000,1,lab blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,R20,Verde River at Tangle,verde,verde abv horseshoe,1/30/2000,1,NA,1.01,1.14,0.01,0.01,24.27,448.01,23.9,22.98,14.18,1.68,NA
151,R1,CAP canal above Waddell Canal,cap,cap-siphon,2/15/2000,2,NA,2.83,2.79,0.04,0.01,40.39,440.74,39.9,37.09,21.42,1.86,NA
152,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,2/15/2000,2,NA,3.04,3.12,0.04,0.01,38.07,449.55,37.85,35.84,20.4,1.85,NA
153,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,2/15/2000,2,NA,3.11,3.11,0.04,0.01,37.86,446.1,37.06,34.45,20.32,1.82,NA
154,R3,Waddell Canal,cap,waddell canal,2/15/2000,2,NA,2.76,2.73,0.04,0.01,39.83,446.65,39.73,36.84,21.53,1.84,NA
155,R4,Cap Canal at 7th St.,cap,cap @ 7th st,2/15/2000,2,NA,2.65,2.72,0.04,0.01,39.9,442.22,39.15,36.77,21.55,1.81,NA
156,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,2/15/2000,2,NA,1.13,1.28,0.02,0.02,31.67,445.59,31.15,29.93,18.61,1.67,NA
157,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,2/15/2000,2,NA,2.15,2.15,0.04,0.02,49.37,447.24,48.52,46.19,27.33,1.77,NA
158,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,2/15/2000,2,NA,2.11,2.07,0.04,0.02,48.72,448.25,48.47,46.12,27.22,1.78,NA
159,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,2/15/2000,2,NA,2.13,2.13,0.04,0.02,51.34,443.59,50.59,48.04,28.91,1.75,NA
160,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,2/14/2000,2,NA,2.59,2.69,0.04,0.01,44.62,443.25,44,41.5,24.84,1.77,NA
161,R9A,Saguaro Lake near inlet,salt,saguaro-epi,2/14/2000,2,NA,3.07,3.19,0.05,0.01,49.26,449.09,49.14,46.56,26.82,1.83,NA
162,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,2/14/2000,2,NA,3,2.94,0.05,0.01,51.7,442.76,51.03,48.56,28.64,1.78,NA
163,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,2/14/2000,2,NA,2.14,2.34,0.03,0.01,40.95,449.71,40.93,38.48,23.46,1.74,NA
