Sensor Name,Sensor Reading,Reading Date
Wql_010161_Probe1.DO,89.80004883,4/11/2017 6:59
Wql_010161_Probe1.DO,90.31813049,4/11/2017 6:29
Wql_010161_Probe1.DO,88.92326355,4/11/2017 5:59
Wql_010161_Probe1.DO,90.44036102,4/11/2017 5:29
Wql_010161_Probe1.DO,90.66803741,4/11/2017 4:59
Wql_010161_Probe1.DO,90.0509491,4/11/2017 4:29
Wql_010161_Probe1.DO,88.55757141,4/11/2017 3:59
Wql_010161_Probe1.DO,86.22486877,4/11/2017 3:29
Wql_010161_Probe1.DO,88.84864044,4/11/2017 2:59
Wql_010161_Probe1.DO,89.17240143,4/11/2017 2:29
Wql_010161_Probe1.DO,76.92636108,4/11/2017 1:59
Wql_010161_Probe1.DO,82.20827484,4/11/2017 1:29
Wql_010161_Probe1.DO,92.32647705,4/11/2017 0:59
Wql_010161_Probe1.DO,89.77770233,4/11/2017 0:29
Wql_010161_Probe1.DO,91.48383331,4/10/2017 23:59
Wql_010161_Probe1.DO,90.17951202,4/10/2017 23:29
Wql_010161_Probe1.DO,92.81674194,4/10/2017 22:59
Wql_010161_Probe1.DO,103.1710892,4/10/2017 22:29
Wql_010161_Probe1.DO,107.3629761,4/10/2017 21:59
Wql_010161_Probe1.DO,108.0633011,4/10/2017 21:29
Wql_010161_Probe1.DO,105.4697418,4/10/2017 20:59
Wql_010161_Probe1.DO,115.0395203,4/10/2017 20:29
Wql_010161_Probe1.DO,113.3369141,4/10/2017 19:59
Wql_010161_Probe1.DO,120.4550247,4/10/2017 19:29
Wql_010161_Probe1.DO,129.5033569,4/10/2017 18:59
Wql_010161_Probe1.DO,136.7349091,4/10/2017 18:29
Wql_010161_Probe1.DO,132.6358643,4/10/2017 17:59
Wql_010161_Probe1.DO,142.9463043,4/10/2017 17:29
Wql_010161_Probe1.DO,147.7617493,4/10/2017 16:59
Wql_010161_Probe1.DO,144.9212494,4/10/2017 16:29
Wql_010161_Probe1.DO,143.8908234,4/10/2017 15:59
Wql_010161_Probe1.DO,142.8513947,4/10/2017 15:29
Wql_010161_Probe1.DO,141.5934448,4/10/2017 14:59
Wql_010161_Probe1.DO,131.1028595,4/10/2017 14:29
Wql_010161_Probe1.DO,133.5733032,4/10/2017 13:59
Wql_010161_Probe1.DO,130.0441132,4/10/2017 13:29
Wql_010161_Probe1.DO,122.9955597,4/10/2017 12:59
Wql_010161_Probe1.DO,125.3779907,4/10/2017 12:29
